key,en,zh-Hans,zh-Hant,ja-JP,ko-KR,ms-MY,th-TH,vi-VN,hi-IN,de-DE,fr-FR,pt-PT,es-ES,it-IT,nl-NL,no-NO,sv-SE,ro-RO,cs-CZ
人数,Number of People,人数,人數,人数,인원,Bilangan Orang,จำนวนคน,Số lượng người,लोगों की संख्या,Personenanzahl,Nombre de personnes,Número de pessoas,Número de personas,Numero di persone,Aantal personen,Antall personer,Antal personer,Număr persoane,Počet osob
更换邮箱,Change Email,更换邮箱,更換電子信箱,メールアドレスを変更,이메일 변경,Tukar Emel,เปลี่ยนอีเมล,Thay đổi Email,ईमेल बदलें,E-Mail ändern,Modifier l’e-mail,Alterar e-mail,Cambiar correo electrónico,Cambia e-mail,E-mailadres wijzigen,Bytt e-post,Byt e-post,Schimbă adresa de email,Změnit e-mail
安全提示,Security Tip,安全提示,安全提示,セキュリティ通知,보안 알림,Tip Keselamatan,เคล็ดลับความปลอดภัย,Mẹo bảo mật,सुरक्षा युक्ति,Sicherheitshinweis,Alerte de sécurité,Aviso de segurança,Aviso de seguridad,Avviso di sicurezza,Beveiligingstip,Sikkerhetstips,Säkerhetstips,Sfat de securitate,Bezpečnostní tip
安全提示p,Your account is not linked to an email,您的账号未绑定邮箱，存在账号安全风险，建议绑定邮箱,您的帳號未綁定電子信箱，存在帳號安全風險，建議綁定電子信箱,メールが連携されていないため、アカウントのセキュリティリスクがあります。メールを連携することをおすすめします,이메일이 연동되지 않았습니다. 계정 보안을 위해 이메일 연동해 주시길 바랍니다,Akaun anda tidak dikaitkan dengan emel,บัญชีของคุณยังไม่ได้ผูกกับอีเมล,Tài khoản của bạn chưa liên kết với email,आपका खाता ईमेल से लिंक नहीं है,Ihr Konto ist nicht mit einer E-Mail verknüpft. Bitte E-Mail-Adresse zur Sicherheit hinzufügen.,Votre compte n’est pas lié à une adresse e-mail. Veuillez l’ajouter pour plus de sécurité.,Sua conta não está vinculada a um e-mail. Recomenda-se vinculá-lo para segurança.,Su cuenta no tiene un correo vinculado. Se recomienda añadirlo por seguridad.,Il tuo account non è collegato a un’e-mail. Si consiglia di farlo per motivi di sicurezza.,Uw account is niet gekoppeld aan e-mail – bind voor veiligheid,Kontoen din er ikke koblet til e-post – anbefalt for sikkerhet,Ditt konto är inte kopplat till en e-post – bind för ökad säkerhet,Contul dvs. nu este legat de un email – recomandăm legare,Zatím jste nepřipojili e-mail – doporučeno kvůli bezpečnosti
稍后绑定,Bind Later,稍后绑定,稍後綁定,後で連携,나중에 연동,Ikat Nanti,ผูกภายหลัง,Liên kết sau,बाद में बाइंड करें,Später verknüpfen,Lier plus tard,Vincular depois,Vincular más tarde,Collega più tardi,Later koppelen,Koble til senere,Koppla senare,Conectează mai târziu,Připojit později
绑定邮箱,Bind Email,绑定邮箱,綁定電子信箱,メールアドレスを連携,이메일 연동,Ikat Emel,ผูกอีเมล,Liên kết Email,ईमेल बाइंड करें,E-Mail verknüpfen,Lier une adresse e-mail,Vincular e-mail,Vincular correo,Collega e-mail,E-mailadres koppelen,Koble til e-post,Koppla e-post,Leagă adresa de email,Připojit e-mail
邮箱账号,Email Account,邮箱账号,電子信箱帳號,メールアカウント,이메일 계정,Akaun Emel,บัญชีอีเมล,Tài khoản Email,ईमेल खाता,E-Mail-Konto,Compte e-mail,Conta de e-mail,Cuenta de correo,Account e-mail,E-mailaccount,E-postkonto,E-postkonto,Cont de email,E-mailový účet
新邮箱,New Email,新邮箱,新電子信箱,新しいメールアドレス,새 이메일,Emel Baharu,อีเมลใหม่,Email mới,नया ईमेल,Neue E-Mail-Adresse,Nouvelle adresse e-mail,Novo e-mail,Nuevo correo electrónico,Nuovo indirizzo e-mail,Nieuw e-mailadres,Ny e-postadress,Ny e-post,Adresă de email nouă,Nový e-mail
请输入邮箱账号,Please Enter Email,请输入邮箱账号,請輸入電子信箱帳號,メールアカウントを入力してください,이메일 계정을 입력해 주세요,Sila Masukkan Emel,กรุณากรอกอีเมล,Vui lòng nhập Email,कृपया ईमेल दर्ज करें,Bitte geben Sie das E-Mail-Konto ein,Veuillez entrer le compte e-mail,Insira a conta de e-mail,Introduce la cuenta de correo,Inserisci l’account e-mail,Voer e-mailadres in,Skriv inn e-postadresse,Ange e-postadress,Intoduceți adresa de email,Zadejte e-mailovou adresu
请输入要绑定的邮箱账号,Please Enter the Email to Bind,请输入要绑定的邮箱账号,請輸入要綁定的電子信箱帳號,連携するメールアドレスを入力してください,연결할 이메일을 입력해 주세요,Sila Masukkan Emel untuk Diikat,กรุณากรอกอีเมลที่จะผูก,Vui lòng nhập Email để Liên kết,बाइंड करने के लिए कृपया ईमेल दर्ज करें,Bitte geben Sie die zu verknüpfende E-Mail ein,Veuillez entrer l’adresse à lier,Insira o e-mail a ser vinculado,Introduce el correo que deseas vincular,Inserisci l’account da collegare,Voer het e-mailadres in dat u wilt koppelen,Skriv inn e-posten du vil koble til,Ange e-postadressen att koppla,Introduceți emailul pe care doriți să-l legați,"Zadejte e-mail, který chcete připojit"
请输入正确的邮箱账号,Please Enter a Valid Email,请输入正确的邮箱账号,請輸入正確的電子信箱帳號,正しいメールアドレスを入力してください,올바른 이메일 주소를 입력해 주세요,Sila Masukkan Emel yang Sah,กรุณากรอกอีเมลที่ถูกต้อง,Vui lòng nhập Email hợp lệ,कृपया एक वैध ईमेल दर्ज करें,Bitte geben Sie eine gültige E-Mail-Adresse ein,Veuillez entrer une adresse e-mail valide,Insira um e-mail válido,Introduce un correo válido,Inserisci un indirizzo e-mail valido,Voer een geldig e-mailadres in,Skriv inn gyldig e-postadress,Ange korrekt e-postadress,Introduceți o adresă de email validă,Zadejte platný e-mail
邮箱验证码,Email Verification Code,邮箱验证码,電子信箱驗證碼,メール認証コード,이메일 인증번호,Kod Pengesahan Emel,รหัสยืนยันอีเมล,Mã xác minh Email,ईमेल सत्यापन कोड,E-Mail-Bestätigungscode,Code de vérification e-mail,Código de verificação de e-mail,Código de verificación por correo,Codice di verifica e-mail,E-mailverificatiecode,E-postbek,,,
请输入验证码,Please Enter Verification Code,请输入验证码,請輸入驗證碼,認証コードを入力してください,인증번호를 입력해 주세요,Sila Masukkan Kod Pengesahan,กรุณากรอกรหัสยืนยัน,Vui lòng nhập Mã xác minh,कृपया सत्यापन कोड दर्ज करें,Bitte geben Sie den Code ein,Veuillez entrer le code,Insira o código,Introduce el código,Inserisci il codice,Voer verificatiecode in,Skriv inn verifiseringskode,Ange verifieringskod,Introduceți codul de verificare,Zadejte ověřovací kód
新邮箱验证码,New Email Verification Code,新邮箱验证码,新電子信箱驗證碼,新しいメールの認証コード,새 이메일 인증번호,Kod Pengesahan Emel Baharu,รหัสยืนยันอีเมลใหม่,Mã xác minh Email mới,नया ईमेल सत्यापन कोड,Bestätigungscode für neue E-Mail,Code de vérification de la nouvelle e-mail,Código de verificação do novo e-mail,Código de verificación del nuevo correo,Codice di verifica per la nuova e-mail,Verificatiecode nieuw e-mailadres,Verifiseringskode for ny e-postadress,Verifieringskod för ny e-post,Cod de verificare email nou,Verifikační kód nového e-mailu
已绑定的邮箱验证码,Bound Email Verification Code,已绑定的邮箱验证码,已綁定的電子信箱驗證碼,既存メールの認証コード,기존 이메일 인증번호,Kod Pengesahan Emel Terikat,รหัสยืนยันอีเมลที่ผูกไว้,Mã xác minh Email đã liên kết,बाउंड ईमेल सत्यापन कोड,Bestätigungscode der verknüpften E-Mail,Code de vérification de l’e-mail liée,Código de verificação do e-mail vinculado,Código del correo vinculado,Codice di verifica dell’e-mail collegata,Verificatiecode gekoppeld e-mailadres,Verifiseringskode for eksisterende e-postadress,Verifieringskod för kopplad e-post,Cod verificare email existent,Verifikační kód připojeného e-mailu
请输入已绑定的邮箱验证码,Please Enter the Verification Code for the Bound Email,请输入已绑定的邮箱验证码,請輸入已綁定的電子信箱驗證碼,既存メールの認証コードを入力してください,기존 이메일의 인증번호를 입력해 주세요,Sila Masukkan Kod Pengesahan untuk Emel Terikat,กรุณากรอกรหัสยืนยันสำหรับอีเมลที่ผูกไว้,Vui lòng nhập Mã xác minh cho Email đã liên kết,कृपया बाउंड ईमेल के लिए सत्यापन कोड दर्ज करें,Bitte geben Sie den Code der verknüpften E-Mail ein,Veuillez entrer le code de l’e-mail liée,Insira o código da conta de e-mail vinculada,Introduce el código del correo vinculado,Inserisci il codice dell’e-mail collegata,Voer verificatiecode van gekoppeld e-mailadres in,Skriv inn koden for tilkoblet e-postadress,Ange verifieringskod för kopplad e-post,Introduceți codul de la emailul existent,Zadejte kód z připojeného e-mailu
获取验证码,Get Verification Code,获取验证码,獲取驗證碼,認証コードを取得,인증번호 받기,Dapatkan Kod Pengesahan,รับรหัสยืนยัน,Nhận Mã xác minh,सत्यापन कोड प्राप्त करें,Code anfordern,Obtenir le code,Obter código,Obtener código,Ottieni il codice,Code verkrijgen,Hent kode,Hämta kod,Obțineți codul,Získat kód
近24小时涨幅,Growth in last 24 hours,近24小时涨幅,近24小時漲幅,過去24時間の上昇率,최근 24시간 상승률,Pertumbuhan dalam 24 Jam Terakhir,การเติบโตใน24ชั่วโมงล่าสุด,Tăng trưởng trong 24 giờ qua,पिछले 24 घंटों में वृद्धि,Veränderung in den letzten 24 Stunden,Variation des dernières 24 heures,Variação nas últimas 24 horas,Cambio en las últimas 24 horas,Variazione nelle ultime 24 ore,Stijging afgelopen 24 uur,Økning siste 24 timer,Uppgång senaste 24h,Crestere în ultimele 24h,Růst za posledních 24 hodin
行情,Market,行情,行情,マーケット,시세,Pasaran,ตลาด,Thị trường,बाजार,Markt,Marché,Cotação,Mercado,Mercato,Marktomstandigheden,Markedssituasjon,Marknadsläge,Piața,Situace na trhu
小时,Hour,小时,小時,時間,시간,Jam,รายชั่วโมง,Giờ,घंटा,Stunde,Heure,Hora,Hora,Ora,Uur,Time,Timme,Oră,Hodina
日,Day,日,日,日,일,Hari,รายวัน,Ngày,दिन,Tag,Jour,Dia,Día,Giorno,Dag,Dag,Dag,Zi,Den
周,Week,周,週,週,주,Minggu,รายสัปดาห์,Tuần,सप्ताह,Woche,Semaine,Semana,Semana,Settimana,Week,Uke,Vecka,Săptămână,Týden
月,Month,月,月,月,월,Bulan,รายเดือน,Tháng,माह,Monat,Mois,Mês,Mes,Mese,Maand,Måned,Månad,Lună,Měsíc
年,Year,年,年,年,연,Tahun,รายปี,Năm,वर्ष,Jahr,Année,Ano,Año,Anno,Jaar,År,År,An,Let
公司,{plat} Corporation,{plat}公司,{plat}公司,{plat}会社,{plat} 회사,{plat} Corporation,{plat} Corporation,{plat} Corporation,{plat} कॉर्पोरेशन,{plat} Unternehmen,Société {plat},Empresa {plat},Empresa {plat},Azienda {plat},{plat} Bedrijf,{plat} Selskap,{plat} Företag,Compania {plat},Společnost {plat}
资本连接,Capital Connectivity,资本连接,資本連接,資本連携,자본 연결,Perhubungan Modal,การเชื่อมต่อทางการเงิน,Kết nối Vốn,पूंजी कनेक्टिविटी,Kapitalverbindung,Connexion de capital,Conexão de capital,Conexión de capital,Connessione di capitale,Kapitaalverbinding,Kapitaltilkobling,Kapitalanslutning,Conectare Capital,Propojení kapitálu
公司简介,AI opens up new horizons for your investments,人工智能为您的投资开辟新天地，让您的资金与出色的交易相匹配,人工智慧為您的投資開創新天地，讓資金與優質交易相匹配,AIがあなたの投資に新たな可能性を開き、資金と優れた取引をマッチングさせます,인공지능이 당신의 투자를 위한 새로운 길을 엽니다. 자산을 뛰어난 거래와 연결해 보세요,AI membuka ufuk baharu untuk pelaburan anda,AIเปิดโลกใหม่ให้กับการลงทุนของคุณ,AI mở ra những chân trời mới cho các khoản đầu tư của bạn,एआई आपके निवेश के लिए नए क्षितिज खोलता है,Künstliche Intelligenz eröffnet neue Wege für Ihre Investitionen und bringt Ihr Kapital mit herausragenden Trades zusammen,L’intelligence artificielle ouvre de nouveaux horizons à vos investissements en associant votre capital à des transactions performantes,A inteligência artificial abre novos caminhos para seus investimentos e alinha seu capital com negociações excelentes,La IA abre nuevas oportunidades de inversión y alinea tu capital con operaciones destacadas,"L’intelligenza artificiale apre nuovi orizzonti per i tuoi investimenti, abbinando fondi a operazioni eccellenti",Kunstmatige intelligentie opent nieuwe horizonten voor uw investering – uw geld werkt samen met slimme handel,Kunstig intelligens åpner nye muligheter for investeringen din – kapitalen matcher smarte handler,AI öppnar nya möjligheter för din investering – kapitalet matchas med smart handel,Inteligența artificială deschide noi orizonturi pentru investiția dvs. – fondurile dvs. lucrează cu tranzacții inteligente,Umělá inteligence otevírá nové možnosti pro vaše investice – vaše prostředky se propojují s chytrými obchody
代数,Generation,代数,代數,代数,대수,Generasi,รุ่น,Thế hệ,पीढ़ी,Ebene,Génération,Nível,Nivel,Livello,Graad,Grad,Grad,Grad,Stupeň
昨日投资金额,Yesterday's Investment Amount,昨日投资金额,昨日投資金額,昨日の投資金額,어제의 투자 금액,Jumlah Pelaburan Semalam,ยอดลงทุนเมื่อวาน,Số tiền đầu tư hôm qua,कल की निवेश राशि,Investitionssumme gestern,Montant investi hier,Valor investido ontem,Monto invertido ayer,Importo investito ieri,Gisteren geïnvesteerd bedrag,Beløp investert i går,Belopp investerat igår,Suma investită ieri,Včerejší investovaná částka
总投资金额,Total Investment Amount,总投资金额,總投資金額,総投資金額,총 투자 금액,Jumlah Pelaburan Keseluruhan,ยอดลงทุนรวม,Tổng số tiền đầu tư,कुल निवेश राशि,Gesamtinvestition,Montant total investi,Valor total investido,Inversión total,Importo totale investito,Totaal geïnvesteerd bedrag,Totalt investert beløp,Totalt investerat belopp,Suma totală investită,Celková investice
昨日动态收益,Yesterday's Dynamic Income,昨日动态收益,昨日動態收益,昨日の動的収益,어제의 동적 수익,Pendapatan Dinamik Semalam,รายได้ไดนามิกเมื่อวาน,Thu nhập động hôm qua,कल की गतिशील आय,Dynamische Erträge gestern,Gains dynamiques d’hier,Ganhos dinâmicos de ontem,Ganancias dinámicas de ayer,Guadagni dinamici di ieri,Gisteren dynamisch rendement,Gårsdagens dynamiske avkastning,Gårdagens dynamiska avkastning,Câștiguri dinamice de ieri,Včerejší dynamický výnos
累计动态收益,Total Dynamic Income,累计动态收益,累計動態收益,累計動的収益,누적 동적 수익,Jumlah Pendapatan Dinamik,รายได้ไดนามิกรวม,Tổng thu nhập động,कुल गतिशील आय,Kumulierte dynamische Erträge,Gains dynamiques cumulés,Ganhos dinâmicos acumulados,Ganancias dinámicas acumuladas,Guadagni dinamici cumulativi,Opgeteld dynamisch rendement,Akkumulert dynamisk avkastning,Ackumulerad dynamisk avkastning,Câștiguri dinamice cumulate,Kumulativní dynamický výnos
昨日新增人数,New Users Yesterday,昨日新增人数,昨日新增人數,昨日の新規ユーザー数,어제 신규 인원,Pengguna Baharu Semalam,ผู้ใช้ใหม่เมื่อวาน,Người dùng mới hôm qua,कल के नए उपयोगकर्ता,Neue Mitglieder gestern,Nouveaux membres hier,Novos membros ontem,Nuevos miembros ayer,Nuovi membri ieri,Gisteren nieuw aantal leden,Antall nye personer i går,Antal nya medlemmar igår,Număr nou de utilizatori ieri,Počet nových osob včera
团队投资金额,Team Investment Amount,团队投资金额,團隊投資金額,チーム投資金額,팀 투자 금액,Jumlah Pelaburan Pasukan,ยอดลงทุนทีม,Số tiền đầu tư của đội,टीम निवेश राशि,Investitionssumme des Teams,Investissement de l’équipe,Valor investido pela equipe,Inversión del equipo,Investimento totale del team,Team investeringsbedrag,Lagets investeringsbeløp,Lagets investeringsbelopp,Investiție echipă,Investice týmu
个人,Individual,个人,個人,個人,개인,Individu,รายบุคคล,Cá nhân,व्यक्तिगत,Individuell,Individuel,Pessoal,Personal,Personale,Persoonlijk,Individuell,Personlig,Individual,Osobní
团队,Team,团队,團隊,チーム,팀,Pasukan,ทีม,Đội,टीम,Team,Équipe,Equipe,Equipo,Squadra,Team,Team,Lag,Echipă,Tým
confirmOrder,Confirm your order,确认订单,確認訂單,注文を確認する,주문 확인,Sahkan pesanan anda,ยืนยันคำสั่งซื้อของคุณ,Xác nhận đơn hàng của bạn,अपना ऑर्डर पुष्टि करें,Bestellung bestätigen,Confirmer la commande,Confirmar pedido,Confirmar pedido,Conferma ordine,Bevestig bestelling,Bekreft bestilling,Bekräfta beställning,Confirmă comanda,Potvrdit objednávku
purchase,Purchase,购买,購買,購入,구매,Pembelian,การซื้อ,Mua,खरीदारी,Kauf,Achat,Comprar,Compra,Acquisto,Aankoop,Kjøp,Köp,Achiziție,Nákup
results,Results,结果,結果,結果,결과,Keputusan,ผลลัพธ์,Kết quả,परिणाम,Ergebnis,Résultat,Resultado,Resultado,Risultato,Resultaat,Resultat,Resultat,Rezultat,Výsledek
viewFundDetails,View fund details,查看基金详情,查看基金詳情,ファンド詳細を表示,펀드 상세 보기,Lihat butiran dana,ดูรายละเอียดกองทุน,Xem chi tiết quỹ,फंड विवरण देखें,Fonddetails anzeigen,Voir les détails du fonds,Ver detalhes do fundo,Ver detalles del fondo,Visualizza dettagli del fondo,Bekijk fondsdetails,Se fondets detaljer,Visa fonddetaljer,Vezi detalii fond,Zobrazit podrobnosti o fondu
return,Return,返回,返回,戻る,돌아가기,Kembali,กลับ,Quay lại,वापसी,Zurück,Retour,Voltar,Volver,Indietro,Terugkeer,Tilbake,Tillbaka,Înapoi,Zpět
autoReinvestmentDesc,"The platform's automatic reinvestment feature makes investing more convenient and flexible. Upon maturity, the platform automatically reinvests your principal. Enabling automatic reinvestment allows your funds to compound over a longer period of time, making your investment more valuable.",平台的自动复投功能让投资更便捷灵活。到期后，平台会自动将您的本金重新投资。开启自动复投可以让您的资金在更长时间内产生复利，使您的投资更具价值。,平台的自動複投功能讓投資更便捷靈活。到期後，平台會自動將您的本金重新投資。開啟自動複投可以讓您的資金在更長時間內產生複利，使您的投資更具價值。,プラットフォームの自動再投資機能により、投資がより便利で柔軟になります。満期時、プラットフォームは自動的に元本を再投資します。自動再投資を有効にすると、資金がより長期間複利で増えるため、投資価値が高まります。,플랫폼의 자동 재투자 기능으로 투자가 더 편리하고 유연해집니다. 만기 시 플랫폼은 자동으로 원금을 재투자합니다. 자동 재투자를 활성화하면 더 오랜 기간 동안 복리 효과를 누릴 수 있어 투자 가치가 높아집니다.,"Ciri pelaburan semula automatik platform menjadikan pelaburan lebih mudah dan fleksibel. Apabila matang, platform akan melaburkan semula prinsipal anda secara automatik. Mengaktifkan pelaburan semula automatik membolehkan dana anda dikompaun dalam tempoh yang lebih lama, menjadikan pelaburan anda lebih berharga.",คุณสมบัติการลงทุนใหม่อัตโนมัติของแพลตฟอร์มทำให้การลงทุนสะดวกและยืดหยุ่นมากขึ้น เมื่อครบกำหนด แพลตฟอร์มจะนำเงินต้นของคุณไปลงทุนใหม่โดยอัตโนมัติ การเปิดใช้งานการลงทุนใหม่อัตโนมัติช่วยให้เงินของคุณทบต้นเป็นเวลานานขึ้น ทำให้การลงทุนของคุณมีมูลค่ามากขึ้น,"Tính năng tái đầu tư tự động của nền tảng giúp việc đầu tư thuận tiện và linh hoạt hơn. Khi đến hạn, nền tảng sẽ tự động tái đầu tư số tiền gốc của bạn. Bật tính năng tái đầu tư tự động giúp tiền của bạn sinh lãi kép trong thời gian dài hơn, làm cho khoản đầu tư của bạn có giá trị hơn.","प्लेटफ़ॉर्म की स्वचालित पुनर्निवेश सुविधा निवेश को अधिक सुविधाजनक और लचीला बनाती है। परिपक्वता पर, प्लेटफ़ॉर्म स्वचालित रूप से आपकी मूल राशि का पुनर्निवेश करता है। स्वचालित पुनर्निवेश सक्षम करने से आपके फंड लंबी अवधि में चक्रवृद्धि बनाते हैं, जिससे आपका निवेश अधिक मूल्यवान बनता है।",Die automatische Reinvestitionsfunktion der Plattform macht Investitionen bequemer und flexibler. Nach Ablauf wird Ihr Kapital automatisch reinvestiert. Die Aktivierung ermöglicht langfristiges Zinseszinswachstum und erhöht den Investitionswert.,"La fonction de réinvestissement automatique rend les investissements plus pratiques et flexibles. À l’échéance, votre capital sera automatiquement réinvesti. Activer cette option permet une croissance composée plus longue, rendant votre investissement plus précieux.","A função de reinvestimento automático torna os investimentos mais convenientes e flexíveis. Ao vencer, o capital é automaticamente reinvestido. Ativar essa função permite crescimento com juros compostos, tornando seu investimento mais valioso.","La función de reinversión automática hace que invertir sea más conveniente y flexible. Al vencimiento, tu capital se reinvierte automáticamente. Activarla permite crecimiento compuesto a largo plazo, aumentando el valor de tu inversión.","La funzione di reinvestimento automatico rende gli investimenti più comodi e flessibili. Alla scadenza, il capitale sarà reinvestito automaticamente. Attivando questa funzione, i fondi cresceranno con interesse composto nel tempo, aumentando il valore dell’investimento.",De automatische herinvestering maakt beleggen gemakkelijker. Bij afloop herbelegt het platform automatisch uw kapitaal. Zo groeit het kapitaal langer.,Automatisk reinvestering gjør investeringer enklere. Ved forfall reinvesteres kapitalen automatisk. Dette gir lengre vekst.,Automatisk återinvestering gör investering enklare. Vid förfall återinvesteras kapitalet automatiskt. Detta maximerar tillväxt.,"Funcția de reinvestire automată face investiția mai convenabilă. La expirare, platforma reinvestește automat capitalul dvs.",Automatická reinvestice usnadňuje investování. Po vypršení platnosti systém automaticky reinvestuje váš kapitál.
noTeamMembers,No team members yet.,暂无团队成员。,暫無團隊成員。,まだチームメンバーがいません。,아직 팀원이 없습니다.,Tiada ahli pasukan lagi.,ยังไม่มีสมาชิกในทีม,Chưa có thành viên nhóm.,अभी तक कोई टीम सदस्य नहीं हैं।,Keine Teammitglieder vorhanden.,Aucun membre d’équipe pour le moment.,Nenhum membro da equipe no momento.,No hay miembros en el equipo por ahora.,Nessun membro del team al momento.,Geen teamleden gevonden,Ingen teammedlemmer funnet,Inga teammedlemmar finns,Niciun membru de echipă găsit,Žádní členové týmu
inviteFriends,Invite your friends to join your team!,邀请好友加入您的团队！,邀請好友加入您的團隊！,友達をチームに招待しましょう！,친구를 팀에 초대하세요!,Jemput rakan anda untuk menyertai pasukan anda!,เชิญชวนเพื่อนของคุณเข้าร่วมทีม!,Mời bạn bè tham gia nhóm của bạn!,अपने दोस्तों को अपनी टीम में शामिल होने के लिए आमंत्रित करें!,Laden Sie Freunde in Ihr Team ein!,Invitez vos amis à rejoindre votre équipe !,Convide seus amigos para o time!,¡Invita a tus amigos a tu equipo!,Invita i tuoi amici a unirsi al team!,Nodig vrienden uit om mee te doen,Inviter venner til teamet ditt,Bjud in vänner till ditt lag,Invitați prieteni în echipa dvs.,Pozvěte přátele do svého týmu!
daysFund,Days Fund,天基金,天基金,日数ファンド,일수 펀드,Dana Hari,กองทุนรายวัน,Quỹ ngày,दिन फंड,Laufzeitfonds,Fonds à durée déterminée,Fundo por duração,Fondo por días,Fondo a termine,Dagen Fonds,Dagers Fond,Dagars Fond,Fondul de zile,Denní fond
teamMembers,Team Members,团队成员,團隊成員,チームメンバー,팀 멤버,Ahli Pasukan,สมาชิกทีม,Thành viên nhóm,टीम सदस्य,Teammitglieder,Membres de l’équipe,Membros da equipe,Miembros del equipo,Membri del team,Teamleden,Teammedlemmer,Lagmedlemmar,Membri echipă,Členové týmu
onlyShowDepositors,Only show depositors,仅显示存款人,僅顯示存款人,預入者のみ表示,예금자만 표시,Hanya tunjuk pendeposit,แสดงเฉพาะผู้ฝากเงิน,Chỉ hiển thị người gửi tiền,केवल जमाकर्ता दिखाएं,Nur Einzahler anzeigen,Afficher uniquement les déposants,Mostrar apenas depositantes,Mostrar solo depositantes,Mostra solo chi ha depositato,Toon alleen storters,Vis bare innskytere,Visa endast insättare,Afișează doar cei care au depus,Aktivní pouze vkladatelé
myAssets,My Assets,我的资产,我的資產,マイアセット,내 자산,Aset Saya,สินทรัพย์ของฉัน,Tài sản của tôi,मेरी संपत्ति,Mein Vermögen,Mes actifs,Meus ativos,Mis activos,I miei asset,Mijn activa,Mine eiendeler,Mina tillgångar,Activele mele,Můj majetek
depositWarning,"When depositing this currency, please ensure that you use only the networks supported by 9M AI, as listed above. To prevent the potential loss of funds, do not use any other networks or smart contracts.",存入该币种时，请确保仅使用9M AI支持的上述网络。为防止资金潜在损失，请勿使用其他网络或智能合约。,存入該幣種時，請確保僅使用9M AI支持的上述網絡。為防止資金潛在損失，請勿使用其他網絡或智能合約。,この通貨を入金する際は、上記の9M AIがサポートするネットワークのみを使用してください。資金の損失を防ぐため、他のネットワークやスマートコントラクトは使用しないでください。,이 통화를 입금할 때는 반드시 위에 나열된 9M AI가 지원하는 네트워크만 사용하십시오. 자금 손실을 방지하기 위해 다른 네트워크나 스마트 계약을 사용하지 마십시오.,"Apabila mendepositkan mata wang ini, pastikan anda menggunakan hanya rangkaian yang disokong oleh 9M AI seperti yang disenaraikan di atas. Untuk mengelakkan kehilangan dana yang berpotensi, jangan gunakan mana-mana rangkaian atau kontrak pintar lain.",เมื่อฝากสกุลเงินนี้ โปรดตรวจสอบให้แน่ใจว่าคุณใช้เฉพาะเครือข่ายที่รองรับโดย 9M AI ตามที่ระบุไว้ข้างต้น เพื่อป้องกันการสูญเสียเงินทุน อย่าใช้เครือข่ายอื่นหรือสัญญาอัจฉริยะ,"Khi gửi tiền loại tiền này, vui lòng đảm bảo chỉ sử dụng các mạng được hỗ trợ bởi 9M AI như liệt kê ở trên. Để tránh mất tiền tiềm ẩn, không sử dụng bất kỳ mạng hoặc hợp đồng thông minh nào khác.","इस मुद्रा को जमा करते समय, कृपया सुनिश्चित करें कि आप केवल 9M AI द्वारा समर्थित नेटवर्क का उपयोग करते हैं, जैसा कि ऊपर सूचीबद्ध है। धन की संभावित हानि को रोकने के लिए, किसी अन्य नेटवर्क या स्मार्ट कॉन्ट्रैक्ट का उपयोग न करें।",Verwenden Sie beim Einzahlen dieser Währung nur das oben unterstützte Netzwerk von 9M AI. Andere Netzwerke oder Smart Contracts könnten zu Verlusten führen.,"Lors du dépôt, veuillez utiliser uniquement les réseaux pris en charge par 9M AI pour éviter toute perte de fonds.","Ao depositar, use apenas as redes suportadas pela 9M AI para evitar perdas.","Al depositar, asegúrese de usar solo redes compatibles con 9M AI para evitar pérdidas.","Quando depositi questa criptovaluta, assicurati di utilizzare solo le reti supportate da 9M AI per evitare perdite di fondi.",Gebruik alleen het netwerk ondersteund door 9M AI voor stortingen. Gebruik geen ander netwerk of slimme contracten om verlies te voorkomen.,Bruk kun nettverket støttet av 9M AI ved innskudd. Ikke bruk andre nettverk eller smartkontrakter.,Använd endast nätverket som stöds av 9M AI vid insättning. Undvik andra nätverk eller smarta kontrakt.,Folosiți doar rețeaua acceptată de 9M AI pentru depuneri. Nu folosiți alte rețele sau contracte inteligente.,Používejte pouze síť podporovanou 9M AI. Nepoužívejte jiné sítě ani chytré smlouvy.
confirmInfo,Confirm Information,确认信息,確認信息,情報確認,정보 확인,Sahkan Maklumat,ยืนยันข้อมูล,Xác nhận thông tin,जानकारी की पुष्टि करें,Informationen bestätigen,Confirmer les informations,Confirmar informações,Confirmar información,Conferma informazioni,Bevestig informatie,Bekreft informasjon,Bekräfta information,Confirmă informațiile,Potvrďte informace
withdrawalCurrency,Withdrawal Currency,提币币种,提幣幣種,出金通貨,출금 통화,Mata Wang Pengeluaran,สกุลเงินที่ถอน,Loại tiền rút,निकासी मुद्रा,Abhebungswährung,Devise de retrait,Cripto para saque,Criptomoneda de retiro,Criptovaluta per il prelievo,Valuta voor opname,Uttaksvaluta,Uttagsvaluta,Monedă pentru retragere,Měna pro výběr
confirmSubmit,Confirm and Submit,确认提交,確認提交,確認して送信,확인 및 제출,Sahkan dan Hantar,ยืนยันและส่ง,Xác nhận và gửi,पुष्टि करें और सबमिट करें,Einreichen bestätigen,Confirmer la soumission,Confirmar envio,Confirmar envío,Conferma invio,Bevestiging indienen,Bekreft innsending,Bekräfta inskickning,Confirmă trimiterea,Potvrdit odeslání
